date,item,price
2009-09-16,GSB CHK,3.79
2009-09-16,MED DRINK,1.39
Unknown,Unknown,
2017-03-31,CLARITIN,19.98
2017-03-31,RX# 6078653,11.93
2017-03-31,RX# 6037209,10
2017-03-31,RX# 6078655,41.98
2017-03-31,RX# 6078654,32.17
2020-07-27,PHILIPS,17
2020-07-27,"Samsung 65""",499.99
2020-07-27,SQUARETRADE,75
Unknown,SOY SAUCE 2L,11.49
Unknown,TPD KIKK SOY SAUCE,2
Unknown,PORK SPARE RIBS,30.12
Unknown,TPD SPARE RIB,6
Unknown,QUKES,9.99
Unknown,DRAGON FRUIT 8 PK,34.99
Unknown,HLTH ATTK CRPY FRT,12.99
Unknown,POPCORNERS 24PK,20.99
Unknown,POPCORNERS 24PK,4.1
Unknown,GLICO POCKY DUO,12.99
Unknown,DAWN DISH LIQ2.66L,15.99
Unknown,TPD-DAWN PLAT 2.66,3
Unknown,KS ORGANIC SEAWEED,14.99
Unknown,KARA-AGE CHICKEN,28.99
Unknown,CAULI BLOSSOM,6.99
Unknown,PURPLE BROCCOLINI,7.99
Unknown,DJ&A S/BERRY 100G,10.99
2010-03-02,HR22,199.99
2010-03-02,ESC CAPTURE,0
Unknown,ITEM 1,1
Unknown,ITEM,1
Unknown,3,1
Unknown,ITEM,1
Unknown,ITEM 5,1
Unknown,ITEM,1
Unknown,ITEM,1
Unknown,ITEM,1
Unknown,ITEM 9,1
Unknown,ITEM 10,1
2022-10-21,Unknown,12.99
2022-10-21,"12"" #8 RChik & Bacon Sub",Unknown
2015-11-19,LOGI HARMONY ELITE,317.48
Unknown,Unknown,4
Unknown,"6"" Meatball Marinara",1.4
Unknown,|Fountain Drink - 21oz,0.95
Unknown,|Chips W-Hot-to-evob & fifty,0.4
Unknown,|Bottled Water,0.05
Unknown,Bag Charge,Unknown
2021-10-16,GRILL COVER,14.97
2021-10-16,FIBER CHOICE,12.94
2021-10-16,CELERY HEART,2.48
2021-10-16,RED GRAPE,3.61
2023-01-14,Filet-O-Fish,6.69
2023-01-14,Filet-O-Fish Patty,1.4
2023-01-14,Bacon QPC Meal,16.89
2023-01-14,S Premium Roast,3.09
2023-01-07,Vt Icd Americano,3.95
2023-01-07,Vt Carml Frapp,5.95
2006-04-07,START FLUID,1.42
2006-04-07,POLISH RMVR,1.67
2006-04-07,NAIL DRY,1.97
2006-04-07,SPRAY BOTTLE,0.5
2006-04-07,1PK LTR,0.97
2006-04-07,91 ALCOHOL,1.94
2014-06-15,WF42H5000AW,589.99
2014-06-15,HAULAWAY_HT,0
2014-06-15,HOME DELIVE,0
2014-06-15,MY BEST BUY,0
2014-06-15,SHOPKICK,0
2018-07-30,Combo 10,6.89
2018-07-30,NACHO FRIES,1.39
2014-07-03,Unknown,Unknown
2014-07-03,D1 Khoo Neeo Mamuang ##,12
2014-07-03,M2 Green Curry,16
2014-07-03,M24 Jasmine Rice,7.5
2014-07-03,Unknown,Unknown
2014-07-03,M4 Tom Yum,16
2014-07-03,N24 Belacan Kangkung,
2014-07-03,N6 Thai Omelet,Unknown
